Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,0.589854733,2005,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,11.760801,2005,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,87.5,2005,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,12.18194771,2005,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,82.493523,2005,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_6,Work and job quality,PT_SAL,Percentage of employees,Job strain,,Total,Total,Total,28.07831001,2005,Job strain_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.473413947,2005,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.9,2005,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,89.3,2005,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,85.7,2005,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,0.811986934,2005,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,33.23944092,2005,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,77.6,2005,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,13.24864711,2005,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,9.2,2005,Homicides_Age:Total_Sex:Male_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Old,Total,Total,26.90675735,2005,Job strain_Age:Old_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,73.4,2005,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,60184,2005,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.4,2005,Homicides_Age:Total_Sex:Female_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,92.5,2005,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,13.434798,2005,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,60.82877507,2005,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,57.199039,2005,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,4.436948625,2005,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Middle-aged,Total,Total,27.94233704,2005,Job strain_Age:Middle-aged_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,83.10108442,2005,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Total,Primary education,24.40547562,2005,Job strain_Age:Total_Sex:Total_Education:Primary education
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,23.96438848,2005,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,39773,2005,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,80.1,2005,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Male,Total,33.24856567,2005,Job strain_Age:Total_Sex:Male_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,72.789757,2005,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.61687212,2005,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.555571012,2005,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,75.71854348,2005,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,2.8,2005,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,80.49299528,2005,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,9_2,Environmental quality,PT_POP,Percentage of population,Exposed to air pollution,,Total,Total,Total,67.648,2005,Exposed to air pollution_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,22.46815872,2005,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,0.646502034,2005,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Total,Secondary education,49.03224945,2005,Job strain_Age:Total_Sex:Total_Education:Secondary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96.5,2005,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,73.4,2005,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,68.61034452,2005,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,79.33561506,2005,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,4.858064516,2005,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Young,Total,Total,27.98553848,2005,Job strain_Age:Young_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,0.604259773,2005,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,88.4,2005,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Total,Tertiary education,12.98201942,2005,Job strain_Age:Total_Sex:Total_Education:Tertiary education
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Female,Total,22.75512505,2005,Job strain_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,53.90740034,2005,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,75,2005,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,15.137282,2005,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,6.04137931,2005,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,0.551003347,2005,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,16.36133054,2005,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,89.65000153,2005,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,18.97506925,2005,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,14.72336923,2005,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,0.481284485,2006,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,10.269282,2006,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,76.10990829,2006,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,87.5,2006,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,12.57096004,2006,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,82.736015,2006,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.627458008,2006,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,13.89818982,2006,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.9,2006,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,89,2006,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,85.7,2006,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,0.66535678,2006,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,34.30186462,2006,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,77.8,2006,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,13.59910707,2006,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,9.3,2006,Homicides_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,74.2,2006,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,61085,2006,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.5,2006,Homicides_Age:Total_Sex:Female_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,92.3,2006,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,12.458967,2006,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,61.79442231,2006,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,57.958363,2006,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,4.421559586,2006,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,83.41586739,2006,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,24.22200441,2006,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,40777,2006,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,80.3,2006,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,22.72534391,2006,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,73.348991,2006,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.89266793,2006,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.432631798,2006,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
